                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0434,                 4.3513,                 3.6325,                0.01651,                0.46103,                0.01955,                0.00609,                  2.579,                 3.6382,                 3.1694,               0.070032,              0.0033298,              0.0033298
                      1,                 2.2571,                 3.3632,                 2.7519,                0.23632,                0.16842,                0.13054,                0.05957,                 2.1744,                 3.2997,                 2.6323,               0.039592,              0.0062233,              0.0062233
                      2,                 1.8795,                 2.8767,                  2.369,                0.33943,                0.39643,                 0.3407,                0.16579,                 1.8443,                 2.4451,                 2.3032,              0.0087125,              0.0086769,              0.0086769
                      3,                 1.7269,                 2.5339,                 2.1787,                0.56124,                0.57807,                0.58655,                0.28677,                 1.7374,                 2.0131,                 2.1447,                0.00802,                0.00802,                0.00802
                      4,                 1.6154,                 2.2374,                 2.0632,                0.62248,                 0.6192,                0.67843,                0.33882,                 1.6988,                 1.6593,                 2.0825,                0.00802,                0.00802,                0.00802
                      5,                 1.4219,                  1.637,                 1.9243,                0.78888,                0.68698,                0.78234,                0.40902,                 1.5956,                 1.4352,                  1.999,                0.00736,                0.00736,                0.00736
                      6,                 1.3424,                 1.4168,                 1.8446,                0.84684,                0.71571,                0.83275,                0.50101,                 1.4594,                 1.2336,                 1.8327,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.2809,                 1.2374,                 1.7516,                0.79009,                0.80044,                0.83401,                0.45034,                 1.6404,                 1.2732,                 1.9524,                0.00604,                0.00604,                0.00604
                      8,                 1.2271,                 1.1174,                 1.6912,                0.86791,                0.82615,                0.88008,                0.49265,                 1.5548,                 1.0541,                 1.8698,                0.00538,                0.00538,                0.00538
                      9,                 1.1795,                 1.0166,                 1.6326,                0.84933,                0.85466,                0.90032,                0.50666,                 1.5163,                 1.0092,                 1.8262,                0.00472,                0.00472,                0.00472
                     10,                 1.1432,                0.93247,                 1.5986,                0.88318,                0.85273,                0.90232,                0.55436,                 1.4034,                 0.9464,                 1.7337,                0.00406,                0.00406,                0.00406
                     11,                 1.0928,                 0.8471,                 1.5357,                0.89533,                0.87357,                0.92196,                0.53485,                 1.4996,                0.91806,                 1.7751,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.0617,                0.78409,                 1.4998,                0.90949,                0.88716,                0.92192,                0.55924,                 1.4235,                0.85353,                 1.7261,                0.00274,                0.00274,                0.00274
                     13,                 1.0184,                0.73366,                 1.4643,                0.94739,                0.89384,                0.93614,                0.56829,                 1.4047,                0.80828,                 1.6895,                0.00208,                0.00208,                0.00208
                     14,                0.97354,                0.67519,                 1.4166,                0.94332,                0.90089,                0.93549,                0.57471,                 1.4109,                0.78086,                 1.6937,                0.00142,                0.00142,                0.00142
